ISBN,Product title,Brand,Pub Date,Retailer sales out last week,Retailer number of units in stock,Retailer projected weeks of stock on Hand,Number of units reatiler has ordered from DK,Current number of units in DK warehouse,Print status,Current Preorders total,Reprint Quantity,Reprint Date,Forecast sales for this week,Forecast sales for next 4 weeks,Forecast sales for next 12 weeks,Stock Risk
9780241734612,The Magic Balloon: World Book Day 2025,DK Children 0-9,2025-02-06,1947,1066,0.8680033416875522,0,950,Reprint under Review,0.0,0.0,,1197.0,3185.0,6747.0,High
9781464221361,Never Lie: From the Sunday Times Bestselling Author of The Housemaid,DK Other,2023-12-05,1753,2518,1.6119302949061662,0,10365,Reprinting,0.0,0.0,,1492.0,3517.0,7598.0,Low
9781464228636,The Crash: The #1 Sunday Times Bestseller! A Pulse-Pounding Psychological Thriller from the Author of the Housemaid is Watching,DK Other,2025-01-28,1597,3850,2.6102464332036317,1,20468,In Print,0.0,0.0,,1542.0,5667.0,12154.0,Low
9781464228599,The Perfect Son: From the Sunday Times Bestselling Author of The Housemaid,DK Other,2024-08-06,1488,1706,1.714936247723133,1,5098,In Print,0.0,0.0,,1098.0,2757.0,5505.0,Low
9780241740859,LEGO Our Amazing Universe: World Book Day 2025: Fantastic Building Ideas and Facts About Our Universe,DK Licensing,2025-02-06,1365,1214,1.3285398230088497,2012,3991,In Print,0.0,3000.0,2025-01-10,904.0,2140.0,4424.0,Low
9781464221385,The Inmate: From the Sunday Times Bestselling Author of The Housemaid,DK Other,2024-03-05,1138,85,0.07214611872146119,961,5753,Reprinting,0.0,0.0,,1095.0,3372.0,7392.0,Low
9781464223310,"The Housemaid Is Watching: An Instant Sunday Times Bestseller (The housemaid series, 3)",DK Other,2024-06-11,1206,7265,5.981212638770282,28,11909,In Print,0.0,0.0,,1171.0,4259.0,11888.0,Low
9780241648810,How to Design a Garden: Create and Maintain Your Dream Garden,DK Life,2025-02-06,946,2397,0.6866501854140915,0,1,In Print,0.0,5000.0,2025-01-17,3236.0,8284.0,14020.0,High
9780241733066,The Money-Saving Garden Year: A Month-by-month Guide to a Great Garden that Costs Less,DK Life,2024-10-24,818,2772,6.089861751152074,0,8227,In Print,0.0,0.0,,434.0,1863.0,5773.0,Low
9781464221392,One by One: From the Sunday Times Bestselling Author of The Housemaid,DK Other,2024-04-02,897,277,0.41455696202531644,168,5299,In Print,0.0,0.0,,632.0,1509.0,3302.0,Low
9781464221408,The Boyfriend: An Instant Sunday Times Bestseller from the Author of The Housemaid is Watching,DK Other,2024-10-01,885,2784,4.5510835913312695,182,10085,In Print,0.0,0.0,,646.0,2462.0,6437.0,Low
9781464221354,The Locked Door: From the Sunday Times Bestselling Author of The Housemaid,DK Other,2023-11-28,874,1982,1.7379576107899808,1,11663,In Print,0.0,0.0,,1038.0,3360.0,7019.0,Low
9780241308172,Pop-Up Peekaboo! I Love You,DK Children 0-9,2019-01-03,510,67,0.32407407407407407,0,0,Reprinting,0.0,0.0,,216.0,367.0,454.0,High
9780241669587,Dinosaur Club: On the Trail of a T. rex.: World Book Day 2024,DK Children 0-9,2024-02-01,473,87,0.6949152542372882,12,13,In Print,0.0,0.0,,118.0,536.0,1229.0,High
9781464221347,The Coworker: From the Sunday Times Bestselling Author of The Housemaid,DK Other,2023-11-28,410,1307,2.7911832946635733,58,13339,In Print,0.0,0.0,,431.0,1157.0,2836.0,Low
9780241675502,You and Your Body: A First Look Inside the Human Body,DK Children 0-9,2025-01-30,298,243,0.6506666666666666,336,1881,In Print,0.0,0.0,,375.0,889.0,1882.0,Low
9780241455159,What Mummy Makes: Cook Just Once for You and Your Baby,DK Life,2020-07-23,289,1439,3.4955357142857144,0,18047,In Print,0.0,10000.0,2025-02-03,448.0,1720.0,5007.0,Low
9780241659298,Marvel Spidey and His Amazing Friends Glow in the Dark Sticker Book: With More Than 100 Stickers,DK Licensing,2024-03-07,269,122,0.43309859154929575,0,0,Reprinting,0.0,4000.0,2025-03-10,284.0,1076.0,3059.0,High
9781405308861,Diggers & Dumpers Ultimate Sticker Book,DK Children 0-9,2005-02-03,208,891,3.629166666666667,25,4264,In Print,0.0,4000.0,2025-01-23,240.0,913.0,2720.0,Low
9780241568163,Wonderfully Wired Brains: An Introduction to the World of Neurodiversity,DK Children 0-9,2023-05-04,211,1219,4.21505376344086,0,8019,In Print,0.0,0.0,,279.0,1019.0,3142.0,Low
9780241283479,Baby Touch and Feel I Love You,DK Children 0-9,2017-01-16,217,53,0.49514563106796117,66,2576,In Print,0.0,0.0,,103.0,130.0,189.0,Low
9780241619247,Marvel Spider-Man Pocket Guide: World Book Day 2023,DK Licensing,2023-02-02,195,126,1.2990654205607477,0,0,Out of Print,0.0,0.0,,107.0,521.0,1066.0,High
9780241412718,RSPB Pocket Garden Birdwatch,DK Knowledge,2020-01-02,195,697,2.051912568306011,0,1537,In Print,0.0,0.0,,366.0,966.0,2392.0,Low
9781728205489,If He Had Been with Me: The Tiktok Sensation,DK Other,2019-12-01,180,3930,15.82283464566929,0,21571,In Print,0.0,0.0,,254.0,1148.0,3656.0,Low
9780241720424,Pop-Up Peekaboo! Disney Moana,DK Licensing,2024-11-07,169,275,2.098360655737705,14,10016,In Print,0.0,0.0,,122.0,439.0,1280.0,Low
9780241412473,The Mysteries of the Universe: Discover the best-kept secrets of space (DK Children's Anthologies),DK Children 0-9,2020-09-03,165,1528,8.474285714285715,0,4508,In Print,0.0,5900.0,2025-02-14,175.0,602.0,1686.0,Low
9780241334393,An Anthology of Intriguing Animals (DK Children's Anthologies),DK Children 0-9,2018-10-04,136,613,4.805084745762712,0,2248,In Print,0.0,0.0,,118.0,458.0,1321.0,Low
9780241647011,Pop-Up Peekaboo! Marvel Spidey and his Amazing Friends,DK Licensing,2023-10-05,134,891,4.751351351351351,25,4950,In Print,0.0,0.0,,185.0,685.0,2072.0,Low
